city,neighborhood,rooms,price_mean,sq_m_mean,count,price_per_sq_m
גבעתיים,ארלוזורוב,1.5,3800.0,35.0,1,108.57142857142857
גבעתיים,ארלוזורוב,2.0,5033.333333333333,64.0,3,78.64583333333333
גבעתיים,ארלוזורוב,2.5,5600.0,77.33333333333333,3,72.41379310344828
גבעתיים,ארלוזורוב,3.0,7353.846153846154,81.6923076923077,13,90.01883239171376
גבעתיים,ארלוזורוב,3.5,5400.0,80.66666666666667,3,66.94214876033057
גבעתיים,ארלוזורוב,4.0,7618.75,108.0,8,70.54398148148148
גבעתיים,ארלוזורוב,5.0,9750.0,140.0,1,69.64285714285714
גבעתיים,בורוכוב,1.5,4990.0,40.0,1,124.75
גבעתיים,בורוכוב,2.0,4433.333333333333,39.0,3,113.67521367521367
גבעתיים,בורוכוב,2.5,6000.0,68.33333333333333,3,87.8048780487805
גבעתיים,בורוכוב,3.0,7057.142857142857,79.71428571428571,7,88.5304659498208
גבעתיים,בורוכוב,3.5,3800.0,102.33333333333333,3,37.13355048859935
גבעתיים,בורוכוב,4.0,7921.357142857143,111.0,14,71.36357786357786
גבעתיים,בורוכוב,4.5,8500.0,115.0,1,73.91304347826087
גבעתיים,בורוכוב,5.0,11800.0,178.0,4,66.29213483146067
גבעתיים,בורוכוב,7.0,10900.0,110.0,1,99.0909090909091
גבעתיים,בורוכוב,7.5,12400.0,240.0,1,51.666666666666664
גבעתיים,גבעת הרמבם,1.0,2750.0,59.0,2,46.610169491525426
גבעתיים,גבעת הרמבם,1.5,3600.0,32.0,1,112.5
גבעתיים,גבעת הרמבם,2.0,5394.444444444444,53.666666666666664,9,100.51759834368531
גבעתיים,גבעת הרמבם,2.5,5175.0,64.0,4,80.859375
גבעתיים,גבעת הרמבם,3.0,6233.333333333333,91.33333333333333,3,68.24817518248175
גבעתיים,גבעת הרמבם,3.5,6700.0,104.0,1,64.42307692307692
גבעתיים,גבעת הרמבם,4.0,7545.454545454545,101.81818181818181,11,74.10714285714286
גבעתיים,גבעת הרמבם,5.0,11000.0,123.0,1,89.4308943089431
גבעתיים,גבעת קוזלובסקי,2.0,4500.0,50.0,1,90.0
גבעתיים,גבעת קוזלובסקי,4.0,8300.0,110.0,1,75.45454545454545
גבעתיים,"הל""ה",1.0,3450.0,33.0,1,104.54545454545455
גבעתיים,"הל""ה",2.5,5940.0,66.6,5,89.1891891891892
גבעתיים,"הל""ה",3.0,6050.0,78.25,4,77.31629392971246
גבעתיים,"הל""ה",3.5,6550.0,85.0,2,77.05882352941177
גבעתיים,"הל""ה",4.0,6825.0,93.0,4,73.38709677419355
גבעתיים,"הל""ה",5.0,0.0,120.0,1,0.0
גבעתיים,חברת חשמל,1.0,3800.0,30.0,1,126.66666666666667
גבעתיים,חברת חשמל,2.0,5500.0,60.0,1,91.66666666666667
גבעתיים,חברת חשמל,3.0,6100.0,67.5,2,90.37037037037037
גבעתיים,חברת חשמל,3.5,6100.0,100.0,1,61.0
גבעתיים,חברת חשמל,4.0,5166.666666666667,100.0,3,51.66666666666667
גבעתיים,סיטי,2.0,7800.0,54.333333333333336,3,143.55828220858896
גבעתיים,סיטי,3.0,9350.0,100.5,4,93.03482587064677
גבעתיים,סיטי,4.0,8950.0,110.5,2,80.99547511312217
גבעתיים,סיטי,5.0,11608.333333333334,146.16666666666666,12,79.41847206385405
גבעתיים,פועלי הרכבת,1.0,2650.0,15.5,2,170.96774193548387
גבעתיים,פועלי הרכבת,2.0,4800.0,60.0,1,80.0
גבעתיים,פועלי הרכבת,2.5,5000.0,80.0,1,62.5
גבעתיים,פועלי הרכבת,3.0,4728.333333333333,80.66666666666667,3,58.615702479338836
גבעתיים,פועלי הרכבת,3.5,4766.666666666667,104.33333333333333,3,45.68690095846646
גבעתיים,פועלי הרכבת,4.0,6666.666666666667,115.66666666666667,3,57.636887608069166
גבעתיים,פועלי הרכבת,4.5,8000.0,112.0,1,71.42857142857143
גבעתיים,פועלי הרכבת,5.0,10395.0,132.0,2,78.75
גבעתיים,קרית יוסף,3.0,4400.0,87.5,2,50.285714285714285
גבעתיים,קרית יוסף,3.5,8900.0,90.0,1,98.88888888888889
גבעתיים,קרית יוסף,4.0,7250.0,95.0,2,76.3157894736842
גבעתיים,שטח 9,4.0,10750.0,162.5,2,66.15384615384616
גבעתיים,שטח 9,5.0,5420.0,122.5,2,44.244897959183675
גבעתיים,שטח 9,6.0,0.0,152.0,1,0.0
גבעתיים,שינקין,1.0,2466.6666666666665,38.666666666666664,3,63.793103448275865
גבעתיים,שינקין,1.5,3500.0,20.0,1,175.0
גבעתיים,שינקין,2.0,4933.333333333333,53.666666666666664,9,91.92546583850931
גבעתיים,שינקין,2.5,5558.888888888889,66.11111111111111,9,84.08403361344537
גבעתיים,שינקין,3.0,5697.105263157895,72.52631578947368,19,78.5522496371553
גבעתיים,שינקין,3.5,6500.0,77.0,1,84.41558441558442
גבעתיים,שינקין,4.0,5340.0,103.0,5,51.84466019417476
גבעתיים,תל גנים,2.0,4800.0,50.0,1,96.0
גבעתיים,תל גנים,3.0,5225.0,71.0,4,73.59154929577464
גבעתיים,תל גנים,4.0,6255.555555555556,99.55555555555556,9,62.83482142857143
גבעתיים,תל גנים,4.5,5000.0,94.0,1,53.191489361702125
גבעתיים,תל גנים,5.0,5990.0,109.0,1,54.95412844036697
רמת גן,אזור הבילויים,1.0,2875.0,22.5,2,127.77777777777777
רמת גן,אזור הבילויים,1.5,3500.0,38.0,1,92.10526315789474
רמת גן,אזור הבילויים,2.0,4700.0,70.75,8,66.43109540636043
רמת גן,אזור הבילויים,3.0,7850.0,77.0,1,101.94805194805195
רמת גן,אזור הבילויים,3.5,5900.0,79.2,5,74.4949494949495
רמת גן,אזור הבילויים,4.0,7440.0,99.8,15,74.54909819639279
רמת גן,אזור הבילויים,4.5,5625.0,102.5,2,54.8780487804878
רמת גן,אזור הבילויים,5.0,5400.0,132.5,2,40.75471698113208
רמת גן,אזור הבילויים,5.5,7200.0,132.0,1,54.54545454545455
רמת גן,בורסה,1.0,3800.0,26.666666666666668,3,142.5
רמת גן,בורסה,1.5,4133.333333333333,33.333333333333336,3,123.99999999999999
רמת גן,בורסה,2.0,6296.666666666667,54.6,15,115.32356532356533
רמת גן,בורסה,2.5,8000.0,70.0,1,114.28571428571429
רמת גן,בורסה,3.0,7472.636363636364,92.27272727272727,11,80.98423645320197
רמת גן,בורסה,4.0,21000.0,280.0,1,75.0
